corpus,layer,head,gqa_group,region,block_size,top_k,condition,metric,mean,documents,ci_low,ci_high
hotpotqa,0,0,0,local,32,4,learned_route,evidence_recall,0.027777777777777776,4,0.0,0.08333333333333333
hotpotqa,0,0,0,local,32,4,random,jaccard,0.09523809523809523,4,0.05044642857142857,0.13601190476190478
hotpotqa,0,0,0,local,32,4,random,js_similarity,0.1147297389836481,4,0.0634215206916852,0.166037957275611
hotpotqa,0,0,0,local,32,4,random,spearman,0.03155487174538683,4,-0.023706708422069456,0.09214696820698211
hotpotqa,0,0,0,local,32,4,random,top_mass_overlap,0.09003724758440512,4,0.052709832692926284,0.12736466247588396
hotpotqa,0,0,0,local,32,4,semantic,jaccard,0.9624999999999999,4,0.9374999999999999,0.9875
hotpotqa,0,0,0,local,32,4,semantic,js_similarity,0.9915876782067227,4,0.9883976208358505,0.9939146863348073
hotpotqa,0,0,0,local,32,4,semantic,spearman,0.9777659578953211,4,0.9618608110092262,0.9905858643309928
hotpotqa,0,0,0,local,32,4,semantic,top_mass_overlap,0.937518565915525,4,0.9287711922079325,0.9462659396231174
hotpotqa,0,0,0,local,32,4,semantic_plus_supplement,retained_mass,0.9704145789442281,4,0.9666426469894356,0.9740214817604775
hotpotqa,0,0,0,local,32,4,semantic_plus_supplement,retained_ratio,0.9988020469867738,4,0.9981909630750749,0.9991165350808252
hotpotqa,0,0,0,local,32,4,semantic_shared,retained_mass,0.9701655697776472,4,0.966551544162879,0.973539696550276
hotpotqa,0,0,0,local,32,4,semantic_shared,retained_ratio,0.9985471384729976,4,0.9981127555743057,0.9989340921207683
hotpotqa,0,0,0,local,32,8,all_route,evidence_recall,0.08333333333333333,4,0.0,0.25
hotpotqa,0,0,0,local,32,8,boundary,jaccard,0.8546085858585859,4,0.8330808080808081,0.8836489898989899
hotpotqa,0,0,0,local,32,8,boundary,js_similarity,0.949034459942577,4,0.9427194141637985,0.9551000403935681
hotpotqa,0,0,0,local,32,8,boundary,spearman,0.9457713005800352,4,0.9349060003989111,0.9580199191648491
hotpotqa,0,0,0,local,32,8,boundary,top_mass_overlap,0.8804719969630241,4,0.8705377811565995,0.889999276958406
hotpotqa,0,0,0,local,32,8,content_route,evidence_recall,0.08333333333333333,4,0.0,0.25
hotpotqa,0,0,0,local,32,8,content_vs_all,delta_pull,-0.00022078878105192653,4,-0.0003147528782557093,-0.0001698421704567085
hotpotqa,0,0,0,local,32,8,content_vs_negation,jaccard,1.0,1,1.0,1.0
hotpotqa,0,0,0,local,32,8,content_vs_negation,js_similarity,0.9930195577537683,1,0.9930195577537683,0.9930195577537683
hotpotqa,0,0,0,local,32,8,content_vs_negation,spearman,0.9996457041629762,1,0.9996457041629762,0.9996457041629762
hotpotqa,0,0,0,local,32,8,content_vs_negation,top_mass_overlap,0.9365645051002502,1,0.9365645051002502,0.9365645051002502
hotpotqa,0,0,0,local,32,8,content_vs_number,jaccard,0.921868686868687,4,0.8681186868686869,0.9551767676767677
hotpotqa,0,0,0,local,32,8,content_vs_number,js_similarity,0.9913077305846894,4,0.9885280257728404,0.9939111985478517
hotpotqa,0,0,0,local,32,8,content_vs_number,spearman,0.9800632594188996,4,0.9682998151637051,0.9903602125489412
hotpotqa,0,0,0,local,32,8,content_vs_number,top_mass_overlap,0.9451717659831047,4,0.9369351007044315,0.9529690394178032
hotpotqa,0,0,0,local,32,8,content_vs_pronoun,jaccard,0.8785984848484849,4,0.8464551767676768,0.9093434343434345
hotpotqa,0,0,0,local,32,8,content_vs_pronoun,js_similarity,0.9766543499265538,4,0.9674088180656198,0.9844814903359462
hotpotqa,0,0,0,local,32,8,content_vs_pronoun,spearman,0.9587331995705393,4,0.9452373552536617,0.9722290438874166
hotpotqa,0,0,0,local,32,8,content_vs_pronoun,top_mass_overlap,0.9189721290022135,4,0.9030165243893862,0.9345021601766348
hotpotqa,0,0,0,local,32,8,content_vs_punctuation,jaccard,0.9336489898989899,4,0.8936868686868686,0.9576388888888889
hotpotqa,0,0,0,local,32,8,content_vs_punctuation,js_similarity,0.9913353595450219,4,0.9866147493875064,0.9948181255176813
hotpotqa,0,0,0,local,32,8,content_vs_punctuation,spearman,0.9802783433306792,4,0.9699431182404578,0.9878394173725441
hotpotqa,0,0,0,local,32,8,content_vs_punctuation,top_mass_overlap,0.9471224881708622,4,0.9312009252607822,0.9577018804848194
hotpotqa,0,0,0,local,32,8,content_vs_question,jaccard,0.9404040404040404,4,0.888888888888889,0.9869696969696969
hotpotqa,0,0,0,local,32,8,content_vs_question,js_similarity,0.9866729974370148,4,0.9788426840801507,0.993183424027165
hotpotqa,0,0,0,local,32,8,content_vs_question,spearman,0.9800938029474613,4,0.9702355764515429,0.9923522433488482
hotpotqa,0,0,0,local,32,8,content_vs_question,top_mass_overlap,0.930616195454742,4,0.9034182578325272,0.9575569530328115
hotpotqa,0,0,0,local,32,8,fixed,jaccard,0.8497474747474748,4,0.8141414141414142,0.8853535353535356
hotpotqa,0,0,0,local,32,8,fixed,js_similarity,0.9629028347156074,4,0.9519149761212231,0.976095500291439
hotpotqa,0,0,0,local,32,8,fixed,spearman,0.943589333323472,4,0.9366850990209673,0.9499294500128648
hotpotqa,0,0,0,local,32,8,fixed,top_mass_overlap,0.906019315123558,4,0.8833937402814627,0.9286448899656534
hotpotqa,0,0,0,local,32,8,fixed_shared,retained_mass,1.0000000003313403,4,0.9999999990291668,1.000000002168052
hotpotqa,0,0,0,local,32,8,fixed_shared,retained_ratio,1.0000000006059317,4,0.9999999995032947,1.0000000017085688
hotpotqa,0,0,0,local,32,8,idf_route,evidence_recall,0.08333333333333333,4,0.0,0.25
hotpotqa,0,0,0,local,32,8,independent,retained_mass,0.9999999986928942,4,0.9999999978909127,0.9999999995415028
hotpotqa,0,0,0,local,32,8,independent_upper,evidence_recall,0.1111111111111111,4,0.0,0.3333333333333333
hotpotqa,0,0,0,local,32,8,lambda_0,coverage,0.998039891471313,4,0.9972647846572253,0.9988149982854005
hotpotqa,0,0,0,local,32,8,lambda_0.25,coverage,0.9982556149089212,4,0.9975193305575117,0.9989918992603306
hotpotqa,0,0,0,local,32,8,lambda_0.5,coverage,0.9982556149089212,4,0.9975193305575117,0.9989918992603306
hotpotqa,0,0,0,local,32,8,lambda_0.75,coverage,0.9982556149089212,4,0.9975193305575117,0.9989918992603306
hotpotqa,0,0,0,local,32,8,lambda_1,coverage,0.9551195305510074,4,0.9345499860960625,0.9753799208738865
hotpotqa,0,0,0,local,32,8,learned_route,evidence_recall,0.08333333333333333,4,0.0,0.25
hotpotqa,0,0,0,local,32,8,random,jaccard,0.227125999000999,4,0.18795926295926293,0.25472721722721725
hotpotqa,0,0,0,local,32,8,random,js_similarity,0.1147297389836481,4,0.06199633342452733,0.17460227156159025
hotpotqa,0,0,0,local,32,8,random,spearman,0.03155487174538683,4,-0.023706708422069456,0.09696981628263213
hotpotqa,0,0,0,local,32,8,random,top_mass_overlap,0.0900372485157277,4,0.052709832692926284,0.12962756236083794
hotpotqa,0,0,0,local,32,8,semantic,jaccard,0.9452651515151516,4,0.915909090909091,0.9704545454545455
hotpotqa,0,0,0,local,32,8,semantic,js_similarity,0.9915876782067227,4,0.9883676592426153,0.9939146863348073
hotpotqa,0,0,0,local,32,8,semantic,spearman,0.9777659578953211,4,0.9604066969539325,0.9913342218073674
hotpotqa,0,0,0,local,32,8,semantic,top_mass_overlap,0.9508026652038097,4,0.9418669519945979,0.9563492275774479
hotpotqa,0,0,0,local,32,8,semantic_plus_supplement,retained_mass,0.9999999987773407,4,0.9999999970197677,1.0
hotpotqa,0,0,0,local,32,8,semantic_plus_supplement,retained_ratio,1.0000000000844462,4,0.9999999990371558,1.0000000009636212
hotpotqa,0,0,0,local,32,8,semantic_shared,retained_mass,0.999999999113572,4,0.9999999979367624,1.0
hotpotqa,0,0,0,local,32,8,semantic_shared,retained_ratio,1.0000000004206777,4,0.9999999995415028,1.0000000012998527
hotpotqa,0,0,0,local,64,4,all_route,evidence_recall,0.05,4,0.0,0.15000000000000002
hotpotqa,0,0,0,local,64,4,boundary,jaccard,0.9208333333333334,4,0.8666666666666667,0.975
hotpotqa,0,0,0,local,64,4,boundary,js_similarity,0.9790494776426689,4,0.969147881305324,0.9889491706354517
hotpotqa,0,0,0,local,64,4,boundary,spearman,0.9724205639428825,4,0.9557104058408129,0.9891307220449521
hotpotqa,0,0,0,local,64,4,boundary,top_mass_overlap,0.9207408456131816,4,0.8980877380818129,0.9420859608799219
hotpotqa,0,0,0,local,64,4,content_route,evidence_recall,0.05,4,0.0,0.15000000000000002
hotpotqa,0,0,0,local,64,4,content_vs_all,delta_pull,-0.00010364324644618053,4,-0.00012877891096128088,-8.009259823041085e-05
hotpotqa,0,0,0,local,64,4,content_vs_negation,jaccard,1.0,1,1.0,1.0
hotpotqa,0,0,0,local,64,4,content_vs_negation,js_similarity,0.9999801299575602,1,0.9999801299575602,0.9999801299575602
hotpotqa,0,0,0,local,64,4,content_vs_negation,spearman,1.0,1,1.0,1.0
hotpotqa,0,0,0,local,64,4,content_vs_negation,top_mass_overlap,0.9963734745979309,1,0.9963734745979309,0.9963734745979309
hotpotqa,0,0,0,local,64,4,content_vs_number,jaccard,0.8727777777777778,4,0.8580555555555556,0.8875000000000001
hotpotqa,0,0,0,local,64,4,content_vs_number,js_similarity,0.9901212079097718,4,0.9868441221353969,0.9933982936841467
hotpotqa,0,0,0,local,64,4,content_vs_number,spearman,0.955869584302467,4,0.9475404794616261,0.9641986891433081
hotpotqa,0,0,0,local,64,4,content_vs_number,top_mass_overlap,0.9486511245990793,4,0.9405663702636957,0.9567358789344629
hotpotqa,0,0,0,local,64,4,content_vs_pronoun,jaccard,0.93125,4,0.8999999999999999,0.9625
hotpotqa,0,0,0,local,64,4,content_vs_pronoun,js_similarity,0.9858444754594664,4,0.9811511104782105,0.991211909700642
