layer,block_index,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,key_start,key_end
1,52,-0.00010185300183159423,-0.00019761646693024283,-1.1913619368809529e-05,8,True,0.078125,0.31347962382445144,False,6656,6784
1,53,-0.00011602615388948273,-0.0002404181137992778,2.144217602135865e-05,8,False,0.15625,0.4106776180698152,False,6784,6912
1,54,-0.0001243348283096118,-0.0003165930176108607,5.2749249675997534e-05,8,False,0.2578125,0.5263157894736842,False,6912,7040
1,55,-6.317339210978176e-05,-0.00014669413986490522,9.916562013911246e-06,8,False,0.2265625,0.48986486486486486,False,7040,7168
1,56,-2.8543606158070746e-05,-0.00012688447390977233,5.980063799036574e-05,8,False,0.578125,0.7789473684210526,False,7168,7296
1,57,-3.9166590058579374e-05,-8.37421987995929e-05,5.5922538041327465e-06,8,False,0.15625,0.4106776180698152,False,7296,7424
1,58,-6.132971068464492e-05,-0.00011608051404857114,-1.191288494136871e-05,8,True,0.0703125,0.30612244897959184,False,7424,7552
1,59,-0.00012037604639468811,-0.0001838263999307652,-6.350167565645108e-05,8,True,0.015625,0.16806722689075632,False,7552,7680
1,60,-2.4412816422296328e-05,-0.00012489877687107216,5.089152189202426e-05,8,False,0.7734375,0.8918918918918919,False,7680,7808
1,61,3.991910978818085e-05,-2.345197734874606e-05,9.392342616538414e-05,8,False,0.25,0.5186385737439222,False,7808,7936
1,62,1.2400953704349898e-05,-5.489854995321356e-05,8.074567001874607e-05,8,False,0.7265625,0.8675373134328358,False,7936,8064
1,63,-1.6327562339293032e-05,-9.740582437203326e-05,5.521227031669831e-05,8,False,0.703125,0.8547008547008547,False,8064,8192
1,64,-6.994987158340281e-05,-0.0001529735213459131,1.3998800141791944e-05,8,False,0.171875,0.43052837573385516,False,8192,8320
1,65,-6.866052098306909e-05,-0.00021789824866168348,7.879605120841924e-05,8,False,0.4375,0.6862745098039216,False,8320,8448
1,66,9.16095885468021e-05,-0.00012135818026155835,0.000254508557121353,8,False,0.421875,0.6716417910447762,False,8448,8576
1,67,3.124698096553042e-05,-2.3150192389418046e-05,9.131265710629233e-05,8,False,0.34375,0.6027397260273972,False,8576,8704
1,68,-2.066544469106905e-05,-8.673967821889955e-05,5.8505051681683065e-05,8,False,0.6171875,0.797979797979798,False,8704,8832
1,69,-1.734333655872898e-05,-5.796319974107791e-05,2.9020516225932867e-05,8,False,0.484375,0.7217694994179278,False,8832,8960
1,70,4.673876401270374e-05,-3.9107798768711795e-05,0.0001262936728813577,8,False,0.3359375,0.5972222222222222,False,8960,9088
1,71,1.4886316695739274e-05,-8.717540699839093e-05,0.00010822578035832767,8,False,0.765625,0.8876811594202898,False,9088,9216
1,72,-6.172471130918059e-06,-9.036307132637402e-05,7.737469680413236e-05,8,False,0.84375,0.9302325581395349,False,9216,9344
1,73,-8.708109463212649e-06,-7.12326377931125e-05,6.740191913514182e-05,8,False,0.7734375,0.8918918918918919,False,9344,9472
1,74,-8.158918621199506e-05,-0.0001828334889157947,1.608660707618268e-05,8,False,0.1875,0.4436229205175601,False,9472,9600
1,75,8.792034045263035e-05,-8.860022595164907e-05,0.00021660396981805865,8,False,0.3359375,0.5972222222222222,False,9600,9728
1,76,-3.4220017116130623e-05,-0.0001623921212875034,8.553145428390202e-05,8,False,0.6015625,0.7905544147843943,False,9728,9856
1,77,-7.164340861963024e-05,-0.00025247741847643057,9.08824754470689e-05,8,False,0.5078125,0.7352941176470589,False,9856,9984
1,78,6.247777028005623e-05,-0.00016313441187229563,0.00024817278573033784,8,False,0.6015625,0.7905544147843943,False,9984,10112
1,79,-8.582792282258415e-06,-7.56480749646071e-05,5.6421014741197596e-05,8,False,0.8515625,0.936426116838488,False,10112,10240
1,80,2.3273073709118865e-05,-8.264053966922942e-05,0.00010724928379817416,8,False,0.6953125,0.8476190476190476,False,10240,10368
1,81,-5.321393057284825e-06,-9.406699569616865e-05,8.675219986572727e-05,8,False,0.9140625,0.9605911330049262,False,10368,10496
1,82,2.5825800737963502e-05,-5.578437086584852e-05,0.00010217514874072018,8,False,0.5859375,0.7836990595611285,False,10496,10624
1,83,7.576153211281348e-05,-2.2169584626222213e-05,0.00016204890370867737,8,False,0.1796875,0.4380952380952381,False,10624,10752
